Frequency;Callsign;Locator;ERP [W];Antenna;QTF;Status;Comment
144,450;RU2DX;KO84VV;5;dipole;;O;Info by SO3Z - 2025-11-16
144,451;LA7VHF;JP99KQ;1000;15el Yagi;185;O;
144,451;LZ0STZ;KN22UG;2.0;4 X HB9CH;;O;
144,452;IQ7FG;JN71TQ;10;Dipolo;;O;
144,452;YO5OHB-1;KN17PT;5W;big wheel;omni;O;Info by YO5OHB - 2024-06-22
144,453;GB3ANG;IO86MN;20;4 ele Yagi;160;X;
144,455;DB0MMO;JN49RV;1;HoLoop;OMNI;1;Update by 1 - 2024-10-29
144,455;OE3XAC;JN78SB;10.0;folded dipole;270;X;
144,455;OH5ADB;KP30NN;0.1;Dipole;NW/SE;X;Update by OH5IY - 2022-11-03
144,455;F5ZXV;JN38CO;2.5;Halo;;O;
144,456;OM0MVC;JN98LR;5;MOXON;270;O;
144,457;SK2VHF;JP94TF;80;2x4 Que-Dee Dir N + 10 el Que-Deedir SSW;N+SV;O;
144,457;IQ0HV;JN61HQ;3;Big weel;;O;
144,458;F1ZAT;JN05VE;3;Trefle;;O;
144,461;SK7VHF;JO65UQ;10;HALO;Omni;O;
144,461;IW0FFK;JN61DS;3;2 x Hentenna;;O;
144,462;GB3SEV;IO82UI;10;Big Wheel;;T;Update by G0MOH - 2022-02-22
144,463;LA2VHF;JP53EG;500;10el Yagi;15;O;
144,464;F1ZDU;IN92OX;0.3;;;O;Info by EA3MS - 2026-05-01 - Servus! Hab diese Bake aus dem Auto geh̦rt.73 de Carlos
144,465;DB0ANN;JN59PL;0.3;Ho-Loop;;X;Update by DM8MM - 2026-05-08
144,467;HB9AW;JN47AB;22.5mW;Big Wheel;Omni;O;Update by HB9AXA - 2021-08-01
144,468;LA6VHF;KP59AL;300;9el Yagi;210;;Update by 1 - 2023-03-09
144,468;F1ZAW;JN37EE;10;Trefle;;O;
144,469;GB3MCB;IO70OJ;8;3 ele Yagi;45;O;
144,469;IQ9UI;JM77IA;10;2*4 el.dk7zb;355;O;
144,47;OH2VHH;KP20MH;1;Dipole;0/180;O;
144,47;ED7YAN;IM87GC;5.0;Loop;;P;
144,471;OZ7IGY;JO55WM;50;2xBig Wheel;;O;Update by DJ6OL - 2024-10-28
144,471;IZ8EDE;JN70VM;2;Halo;;O;
144,473;YM0VHF;KM39AT;5.0;Halo;;X;
144,475;DB0HRF;JO40FF;15.0;Turnstyle;OMNI;O;Update by DJ6OL - 2024-10-28
144,475;OM0MVA;JN88NE;0.4;Dipole;225/45;O;
144,475;IZ8GMP;JM78WE;10;2el.;310;O;
144,475;YU0ZVB;KN04OO;5;5-El. Yagi ?;;O;Info by OE1SOW - 2021-05-24 - ex YU1VHF
144,475;SR8VHL;KO10FF;3;halo;;O;Info by SO3Z - 2021-09-27
144,475;SR8VHL;KO10FF;3;halo;;O;Info by SO3Z - 2021-09-27
144,475;SR8VHL;KO10FF;3;halo;;O;Info by SO3Z - 2021-09-27
144,476;F5ZAL;JN12LL;10;Halo;;O;Update by EA3MS - 2025-04-08
144,477;IQ9GD;JM67LX;;;;U;
144,477;RY2MAF;KO97UP;5;dipole;;O;Info by SO3Z - 2025-11-16
144,478;LA3VHF;JO38SA;120;9el Yagi;180;O;
144,478;S55ZRS;JN76MC;1.00;X Dipol;;O;
144,478;9A0BVS;JN75BA;5.0;Dipole;N / S;O;
144,479;OE3XTR;JN87AT;10.0;2el. Quad;90;;Update by 1 - 2023-03-09
144,48;IZ8IBC;JN70HR;2;Halo;;U;
144,480;LA8VHF;JO48XX;20;;;O;Update by LB3GE - 2025-08-22
144,480;F6ZAQ/B;JN09CM;25;Halo;;O;Info by M0BTZ - 2026-07-25 - Currently QRV.
144,481;SR3VHX;JO82KL;6;4 X 2el Yagi;;X;Update by SO3Z - 2021-06-21
144,482;GB3NGI;IO65VB;20 / 125;2 x 4 ele. Yagi;45 / 135;O;
144,483;OZ1FYR;JO45QV;20;3 x 3;;O;165 m ASL
144,484;SR9VHF;JN99XP;10;dipole;0/180;O;Info by SO3Z - 2021-09-27
144,485;TK5ZMK;JN41JS;5;Trefle;1;;Update by 1 - 2022-08-20
144,486;DM0PR;JO44JH;5.0;2 X 6el Yagi;N-S;U;
144,486;SV3BSF;KM08VA;5;3el yagi;320;O;
144,487;GB3WGI;IO64BL;85 / 1000;2 x 6 ele. Yagi;280;T;
144,488;IQ7PU;JN80XP;5;5 elements;0;O;Info by IZ3KGJ - 2022-03-27
144,489;IT9GRR;JM77GF;2;Halo;;U;
144,489;HG6BVA;KN08FB;5W;dipole;;O;Update by OE1SOW - 2025-08-20
144,491;DB0XIT;JN39MI;3.0; 2 x Winkeldipol ;OMNI;O;
144,492;ON0VRN;JO11JA;5.0;;;X;
144,492;DB0LY;JO63PF;;2 times stacked BIG Wheel;;U;
144,492;DM0ADA;JO53SJ;0.05;Winkel-Dipol;;T;Update by DM1AD - 2024-07-09
144,847;SV5VHF;KM36XG;1;5el yagi;330;O;
1444,125;SZ1SV;KM18UE;0.5;1/4 vertical-indoor;;O;
1444,905;ON0ODR;JO10TT;25.0;;;O;
1444,905;F6ABJ;JN25NJ;50;2 X Trefle;;O;
Status: U Unknown, O Operational, X Not operational, T Testing, P Proposed
Main data based on IARU list, compiled by Erwin, DK5EW for MMMonVHF. Please send corrections and updates to beacon@mmmonvhf.de
Copyright 2007 - 2026 by MMMonVHF - but may be freely reproduced if acknowledgement is made to www.MMMonVHF.de
Last database update: 2026-07-26
